Fastrack,,"1,466.00",4.2,https://www.flipkart.com/fastrack-ng3039sm02-basics-watch-men/p/itmd9gjfzvk6bybh?pid=WATD9H765U2DVW6G
good product..durablity and look is very nice..classic look for mens.,,,,
My Fastrack watch is not work how to return I had purchased before 6months,,,,
"i bought this watch for my brother. this watch looks even more good in real than the given picture. men of any age can use it and it is also a very good gifting option. also, it can be worn with any kind of outfit and to any event. flipkart service is also good and secure. thanks flipkart.",,,,
This is an awesome watch.. Worth buying this coz it looks like 2k rupees worth watch.. If your wrist is thin need not think.. just go for it & Need not say any thing about flipkart service.. I got the watch in 3 days.. every time they call and come but this time surprise visit made me :)..,,,,
"@ Rs 1196/- u can't get nethng better than this watch. Its a sober and looked upon basic model. I bet ..once u buy it, u wont regret it. trust me!!! even @ its original price its worth buying. Its a 50mt water resistant watch...now wat does that mean? A w",,,,
"Watch look stylish, but I got a refurbished watch. It wasn't new one....
Lots of scratches.",,,,
"Got it for a gift. Good looks, inexpensive. A watch which can be worn with casuals and as well office formals. The orange specks in the hands gives it a distinctive look. Though the dial looks small in the pic it is not, it did match my expectations.
Good purchase, if you are looking for something in budget with good looks. Go for it. It tells the time.... need more, pay more.",,,,
May be its worth of u,,,,
Got with worst kind of packing with scratches,,,,
It stopped working in just a month,,,,
Not good,,,,
Nice watch.....,,,,
It's good...,,,,
"Worth product, better than the image shown , loved it",,,,
"Not the best. But still ok
Pros:
Suits your hand very well
Classy design.
PRofessional
Cons:
Very Very difficult to view in the dark or night. I search for street back light to view time :(
no radium illumination",,,,
"Not working after six month.
2 times serviced but not working.delay time always.
waste waste of money spent to fast track",,,,
"Wanted a metallic strap watch with not-a-bulky-look at the same time.
Found this appropriate fastrack watch on flipkart, which was not available on the fastrack website itself.
And I just bought it without a second thought.
good value for money and delivery was super quick.",,,,
Ultimate package under rs 2000 but there was no card or claim of warranty how to claim warranty when there was issue in watch in future but product is absolutely good and at reasonable price and the good thing is that watch is 50 m water resistant you can operate with watch in rains or pools also.........,,,,
Nice watch,,,,
I'm happy for Flipkart,,,,
good product..durablity and look is very nice..classic look for mens.,,,,
My Fastrack watch is not work how to return I had purchased before 6months,,,,
"i bought this watch for my brother. this watch looks even more good in real than the given picture. men of any age can use it and it is also a very good gifting option. also, it can be worn with any kind of outfit and to any event. flipkart service is also good and secure. thanks flipkart.",,,,
This is an awesome watch.. Worth buying this coz it looks like 2k rupees worth watch.. If your wrist is thin need not think.. just go for it & Need not say any thing about flipkart service.. I got the watch in 3 days.. every time they call and come but this time surprise visit made me :)..,,,,
"@ Rs 1196/- u can't get nethng better than this watch. Its a sober and looked upon basic model. I bet ..once u buy it, u wont regret it. trust me!!! even @ its original price its worth buying. Its a 50mt water resistant watch...now wat does that mean? A w",,,,
"Watch look stylish, but I got a refurbished watch. It wasn't new one....
Lots of scratches.",,,,
"Got it for a gift. Good looks, inexpensive. A watch which can be worn with casuals and as well office formals. The orange specks in the hands gives it a distinctive look. Though the dial looks small in the pic it is not, it did match my expectations.
Good purchase, if you are looking for something in budget with good looks. Go for it. It tells the time.... need more, pay more.",,,,
May be its worth of u,,,,
Got with worst kind of packing with scratches,,,,
It stopped working in just a month,,,,
Excellent,,,,
Happy with your company,,,,
Looking of this watch is really nice. I give it 4 star just because my hand hair is stuck in this sometimes. Back is not so smooth as could i wish. Look wise it is awesome.,,,,
"A good product, worth the price. The only issue is the minute and second hands sometimes gets lost in the background in low light. Also for the first time I am disappointed with flipkart delivery. It seemed like they have sent me a product which was returned se it looked like some of the packings on watch were already tampered. Though the watch was brand new but still this is not what flipkart is supposed to do. They must deliver brand new product from factory.",,,,
"the watch doesnot look exactly as it seems to be in picture being displayed, apart from it,to unlock the strap ,had it be an easier mechanism it would have made it excellant.overall seems good",,,,
It is far better then what was expected.Great Work Fastrack...You make Watches of high quality.,,,,
Nice watch.Awsm stylish. Super cool watch. Flipkart delivery very very fast its delivery date was 3rd oct but its deliver by today. But packing is too much bad. When i open the box i saw watch is out of the box.. its is lil disappointment.otherwise super product.i am purchase in big billion day its price was only 1381rs.,,,,
Nice one.. Please shop under 1500 rs..,,,,
I got this product at minimum price ever & and got delivered in 1 day. Thanks you Flipkart for amazing offer.,,,,
"This watch so amazing and looking good, worth for your money",,,,
It is 100% better than the different watches.It will waterproof watch also.,,,,
"Nice watch,dial looks amazing.but the matte finish on stainless steel wont last long.otherwise, for the price of below 2k its a great product.(i got em for 1580rs).",,,,
Good,,,,
A good product in low price,,,,
Nicee watch i luv it..,,,,
Nice watch looking very good,,,,
It is a very good product. I am using this watch for 7 month then it is very good condition for watch.and nice product of fastrack.,,,,
Super,,,,
Super,,,,
