Sony-Xperia-r1-plus,,"12,356",4,https://www.flipkart.com/sony-xperia-r1-plus-dual-black-32-gb/p/itmezgmhnjnxgstm?pid=MOBEZGMHA7NDT4YF
Fingerprint sensor missing but overall good product,,,,
Good,,,,
A very practical phone with great performance and battery life in this price bracket. A great value for money product. Loving it...,,,,
Very good product...good delivery,,,,
"Everything is perfect except some options/optimizations are missing
Below might be helpful for your before buying.
Pros:
1.Classic design
2. Very handy
3. Fast and stable
4. Battery back up is also good
5. Camera is excellent
Cons:
1. Sony should have done some optimization to settings.
2. No double to wakeup screen. Could be missiong some more options. (Will add more if i find any)
3. No sony apps",,,,
Sony it's to good,,,,
Nice phone I love Sony mobile this my 4 th Sony Xperia mobile,,,,
"i am writing this review after using the phone for about 3 weeks now. nice responsive phone, does not hang and inspite of the battery being 2620 mAh, easily last a full day on moderate usage.
the speaker is louder than the previous xperia range.
autofocus in the camera is quiet fast and the images taken are quiet sharp and no blurring.
touch is better than many other chinese phones in this price range (i was previously using Asus)
a dedicated memory memory slot is one feature which is often...",,,,
Good product,,,,
Sony is Always best in the Quality. Very Good phone in this price range. Fast and Beautiful. And thanks Flipkart for delivering mobile in 48 hours.,,,,
Sony mobile is world best mobile for ever thanks to Sony mobile very fastest mobile,,,,
Back Camera is good but front camera is average...,,,,
It takes two hours for full charging of Battery.. Touch ID should've been there.. Nice product and value for money..,,,,
"Good product nice camera
Battery backup one day only
Display good",,,,
"Handset works really well with no lags. Camera and sound quality are good as always from Sony. UI is totally stock android, receives monthly security patches regularly. Although the stock android experience is good for performance but I miss the typical Xperia UI and the Xperia Music App in this handset.",,,,
Good phone.,,,,
Ok,,,,
"Overall 4
Pros : quality
Sound
Performance
Cons: camera quality could be better
Personalization",,,,
super performence good camera ultimate processor but xa1 betterthan r1plus,,,,
It's very much helping to me.i like it a lot,,,,
Fingerprint sensor missing but overall good product,,,,
Good,,,,
A very practical phone with great performance and battery life in this price bracket. A great value for money product. Loving it...,,,,
Very good product...good delivery,,,,
