Sony,,"0,719.00",3.9,https://www.flipkart.com/sony-usm32gr-b2-usm32gr-bz-usm32gr-b-32-gb-pen-drive/p/itmfyg3p9vgyhzdn?pid=ACCDENYYFGDY3WJE
"light weight Pen Drive.Transfer rate is good,
Pen Drive..
29.1 GB available space(FAT)
29.0 GB available space(NTFS)
Small and compact..
performance not so impressive but average ...For copying a 18.1gb movie file ..avg speed:4.4mb/sec(apprx)
But under this price the pen drive is Very good
Thanks Flipkart for making available this beautiful pen drive.",,,,
"Good quality and speed ,
Value for money and Flipkart is cheaper than the market to buy.",,,,
"Its Transfer rate is so awesome reaches 45Mbps...
but in this PD u get only 29.1Gb of usage, so this is only low-point of this
other ways its having a plastic body.
which can even break if tossed hard with ground.
but if by-mistakely fallen, nothing will happen to it.
If you are a SONY fan
then this is the best option for you",,,,
I use first time in this pen drive I'm shocked!!... Because for them the pen drive speed amazing up to 50 Mbps Flipkart is the one of the best shoping market in India,,,,
Nice work and prodect,,,,
It doesn't actually works. Bad experience,,,,
Good one,,,,
"Totally waste.....
THE pendrive was totally damaged piece. . .
It was not working............properly........",,,,
"I cant say that its a best piece or better one but it is good than strotium pollex and sandisk , the transfer speed high hjgh !!!!!!!!!!!!!",,,,
"I got this @ 480, really it's great",,,,
Very slow copying,,,,
...it worked only once.. after it is not showing in my computer..... please don't buy.. just go for other brand.. like transcend hp sandisk.. etc..,,,,
File transfer speed is low one time so product is not good for speed,,,,
Best,,,,
Very very slow,,,,
Good product,,,,
Superb,,,,
I brought song micro 32gb pen drive before 3 days now I came to write a review I brought this pen drive because of good reviews I seen here but really this pen drive is completely waste I had sended files from hp laptop with it processor it normal gives output to 2.0pen drive nearly 20mb per second minimum but this pen drive give only 4 mb per second maximum really waste of money ....DON'T BUY IT NEVER BY REVIEWS DOWN,,,,
Excellent,,,,
Worth the money.,,,,
"light weight Pen Drive.Transfer rate is good,
Pen Drive..
29.1 GB available space(FAT)
29.0 GB available space(NTFS)
Small and compact..
performance not so impressive but average ...For copying a 18.1gb movie file ..avg speed:4.4mb/sec(apprx)
But under this price the pen drive is Very good
Thanks Flipkart for making available this beautiful pen drive.",,,,
"Good quality and speed ,
Value for money and Flipkart is cheaper than the market to buy.",,,,
"Its Transfer rate is so awesome reaches 45Mbps...
but in this PD u get only 29.1Gb of usage, so this is only low-point of this
other ways its having a plastic body.
which can even break if tossed hard with ground.
but if by-mistakely fallen, nothing will happen to it.
If you are a SONY fan
then this is the best option for you",,,,
I use first time in this pen drive I'm shocked!!... Because for them the pen drive speed amazing up to 50 Mbps Flipkart is the one of the best shoping market in India,,,,
Nice work and prodect,,,,
It doesn't actually works. Bad experience,,,,
Good one,,,,
"Totally waste.....
THE pendrive was totally damaged piece. . .
It was not working............properly........",,,,
"I cant say that its a best piece or better one but it is good than strotium pollex and sandisk , the transfer speed high hjgh !!!!!!!!!!!!!",,,,
"I got this @ 480, really it's great",,,,
"Buy this piece of _ if you are fascinated by the 32 gigs space, else there is nothing worth spending for in this product.
Poor performance in terms of write and read speed.
Gets recognized by the system very slow, lags the data while copying.
If you doubt my system capabilities, note that I tested this product on alienware.
If your money is hard earned then please it's a request don't buy this.
Go for HP or Sandisk.
Give a thumbs up if you found this review of some worth.",,,,
"The build quality of this pen drive is very poor. With in 6 months of lite usage, the retractable tab failed. The retractable tab is not getting locked and I need to hold the tab tightly with my thumb to insert into USB port. After that with in few days, the outer plastic case got cracked. Next time I will choose a metallic one.",,,,
Super,,,,
Quality product,,,,
nice product,,,,
I brought Sony 32 GB pendrive. But it's not supported any device. I m totally disappointed it's Sony product copy,,,,
"It is a good product..I used it around 10 hrs,but no heating problem..Kiriti Roy",,,,
this product is not be good very low qulity,,,,
Nice,,,,
Okay.........,,,,
Not working. Defective product,,,,
Ok,,,,
Nice,,,,
Only half Of the data is shared & half of the data is not received in the pen drive. They showing i/o errorr. File not copied,,,,
Was already slow now it even stopped working..,,,,
Bad you sale unbranded products,,,,
Don't buy it speed is very very slow,,,,
Very good product,,,,
No Quality,,,,
"Even though it's a class 10 pendrive it doesn't work likes as its class
Sand disk's pendrive is even far better",,,,
Worst product... Unable to store files....,,,,
Good,,,,
best,,,,
Good writing speed but when I played the pd in my smart TV the higher resolution video ( 1080p) lags ! Over all very good.,,,,
waste pendrive transfer speed is very slow and this pendrive got corrupted in just 15 days,,,,
Good product..,,,,
Good pendrive.... And delivery was within 2days,,,,
Data transfer is soo fast good buy,,,,
Speed is quite good... Thought it is light.. Nd looks like having no power...It constantly gives speed above 15mb/s..genuine product,,,,
Good,,,,
Number one,,,,
It's is very good product and god speed and light connection indicator thanks,,,,
"Dear friends,nice product.after all its a sony.",,,,
Average product and transfer speed just good.,,,,
Good quality and low cost,,,,
Quite Slow in transferring bigger files of autocad. bodu build is just like a cheap china product. could have been better from a brand like SONY,,,,
"Nice...
Element speed",,,,
Good product,,,,
No good Sony 32gb,,,,
Good one,,,,
Good Product.Must buy.,,,,
good,,,,
Superv,,,,
Good one,,,,
"i have recently purchased this item on flipkart, its good under this price. Although writing speed could have been better, but none the less its a very good pen drive.",,,,
I received the product on Saturday 7-11-2015 in afternoon and was very well packaged. I've just formatted the drive and it seems to work OK. Only thing is out of 32 GB it is showing that only 28.8 GB is free even after formatting. There is obviously some memory which is reserved by any storage device but feel 3 GB+ is too much ! I don't know whether this is normal. But the product is made in India and very compact. Giving one star less as I am not sure that so much space is taken by res...,,,,
Good..one,,,,
"Very fast and expess service
Thank you",,,,
Nice,,,,
Awesome product but spaces required more.....than as its now,,,,
Delivery man decipline and performance very bad,,,,
Nice,,,,
