HP,,"0,799",4.2,https://www.flipkart.com/hp-v152w-32-gb-pen-drive/p/itmek3e5x8kbr8ek?pid=ACCEK3E5NRDCV5RJ
this is a very good prouduct,,,,
Classik pendrive,,,,
Goof experience I'm satisfied.,,,,
Satisfied with this probuct,,,,
Fine,,,,
Good,,,,
"Quality is not very gud ,",,,,
Nice product you should buy it,,,,
"Awesome
This is a good product.",,,,
Super,,,,
Awesome.. product..,,,,
Good,,,,
Good,,,,
Good material quality... and good speed....।।। like it,,,,
"HP V152W 32 GB Pen Drive is very nice product, the functioning process is good. The running speed of this product is 18-19Mbps(Average speed).",,,,
Nyc product,,,,
Best thing,,,,
"Fantastic product..This app is simply amazing..No loss for our Money...
Thanks flipkart..",,,,
"Thank you flipkart
❤❤❤❤",,,,
Total waste of money,,,,
this is a very good prouduct,,,,
Classik pendrive,,,,
Goof experience I'm satisfied.,,,,
Satisfied with this probuct,,,,
Fine,,,,
Good,,,,
"Quality is not very gud ,",,,,
Nice product you should buy it,,,,
"Awesome
This is a good product.",,,,
Super,,,,
value for the money ....,,,,
Good performance,,,,
"Its nice.
Reasonable price.",,,,
"see I have always loved an HP flash drive and this one was no exception .. have seen a few people claiming that it is 14.5 GB instead of the assigned 16 which is right and robs it one short of 5 stars :) .. but all in all I do not see any quality issues or anything with sturdiness of the material.
The outer cover is good enough to suggest this is an original product, apart from the 1.5 GB gap I am mighty impressed with it.",,,,
Bad performance,,,,
Its not working properly all the file are always hidden in the computer,,,,
Poor,,,,
Good,,,,
good quality,,,,
Good,,,,
Superb product for the price !,,,,
It's okk okk to buy this pendrive .,,,,
Good one,,,,
Nice,,,,
"I wish I could rate this item - ve. This is useless for me. The moment I plug in, it crashes my MacOSSeirra on MacBook Air. Very disappointed, never thought brand like HP may have such quality issues.",,,,
Very nice product,,,,
Good quality and nice colour,,,,
good quality product sames as shown in picture,,,,
Not bad,,,,
Nice ji,,,,
very good,,,,
Good,,,,
Good,,,,
Superb,,,,
flipkart is a very good site .online shoping i am happy with flipkart,,,,
Nice,,,,
Ok,,,,
Good quality,,,,
Quality product its gud,,,,
Verry good product.,,,,
Very good,,,,
good,,,,
Nic product,,,,
I am satisfied with the product,,,,
Good,,,,
"Good build quality, great design",,,,
Good,,,,
Fabulous,,,,
Good,,,,
Very good product,,,,
Super working......no problem we can get it,,,,
Nice product....not bad at all..,,,,
Awesome product..... Service is also superb,,,,
Great,,,,
Its awesome and nice,,,,
Good,,,,
It is very good and fast,,,,
Good product,,,,
Good product,,,,
Good,,,,
Nice,,,,
Nice one..,,,,
File size is not match.. only 28gb space available but the product shows 32 gb,,,,
its very good for me,,,,
Style of opening of pen drive is very classy,,,,
Awesome,,,,
It takes more time to transferring data ..,,,,
Yeah working is goo,,,,
Ok,,,,
Fabulous,,,,
"Always I like hp devices, but this pendrive shape not good. This is 14.5 gp only rather than 16gp. File transfer speed medium. The price is high for this device.",,,,
Good pen drive .....,,,,
Nice priduct,,,,
Nice pendrive,,,,
It's not working .,,,,
Good pendrive,,,,
Nice,,,,
Good,,,,
Best products,,,,
Great product...,,,,
